open,high,low,close,volume
100619.68,101666.66,100000.0,100483.99,3735.69795
100483.98,102317.94,100105.54,101920.89,3112.55474
101920.88,102118.49,100852.0,101112.03,2332.95744
101112.03,101250.56,99566.25,99744.0,2339.06542
99744.0,100050.02,99049.98,99150.01,1752.65969
99150.01,99753.89,98864.0,99180.0,1546.97033
99180.0,99952.0,99175.03,99700.02,1234.90229
99700.01,101750.4,99606.46,101386.5,1537.60168
101386.11,102405.0,100954.0,101349.67,1827.57602
101349.67,101961.09,101277.77,101637.18,548.21078
101637.18,102183.21,101637.18,102082.83,829.16272
102082.83,102892.0,101777.0,101856.01,1185.97
101856.0,102000.0,101382.66,101382.67,818.89033
101382.66,102436.79,101334.55,102402.01,820.01441
102402.01,102880.0,102026.02,102636.32,845.36163
102636.32,103371.24,102600.0,102901.45,842.31078
102901.45,103339.61,102812.9,103014.59,600.32769
103014.6,103200.0,102599.2,102744.38,464.09702
102744.39,103343.65,102527.39,102789.72,747.72197
102789.72,103028.53,102607.34,102851.23,428.04639
102851.23,102965.28,102393.94,102955.99,668.40201
102955.99,103181.82,102600.79,102745.36,480.98824
102745.37,102943.07,102564.77,102762.01,474.1655
102762.02,102988.6,102476.63,102599.99,532.30825
102599.99,102938.71,102482.35,102597.36,415.81567
102597.37,102891.33,101815.26,102641.99,1942.83069
102642.0,103800.0,102504.0,102777.99,2215.49639
102777.99,102907.98,101906.24,102250.01,1546.13479
102250.01,103098.0,102220.07,102572.82,1402.30003
102572.82,103108.0,102160.0,102205.79,1038.9277
102205.78,102660.0,101820.15,102424.24,708.69151
102424.24,102538.0,101197.04,101264.48,965.13217
101264.02,101547.22,100272.68,100334.01,1374.70182
100334.0,101404.0,100274.96,101265.63,856.17912
101265.63,101450.0,100750.0,101335.52,647.24354
101335.52,101819.67,101328.01,101702.59,503.58708
101702.6,101993.68,101461.12,101845.02,465.55965
101845.02,102319.69,101696.01,101795.4,365.79734
101795.41,102162.8,101764.24,102038.2,361.43929
102038.21,102190.0,101955.51,102001.06,323.51148
102001.06,102384.61,101980.27,102262.0,414.72434
102262.0,102853.53,102237.05,102801.64,572.47612
102801.64,102815.66,102449.97,102755.82,453.49449
102755.81,103000.0,102680.0,102732.03,527.67437
102732.03,102770.0,102303.68,102334.4,636.15136
102334.41,102726.77,102180.65,102547.01,380.5246
102547.01,102809.52,102425.87,102646.0,665.36345
102646.0,102842.04,102220.13,102229.85,788.66391
102229.85,102330.81,101699.59,101836.23,1753.23136
101836.23,102380.0,101582.37,102029.93,1034.80608
102029.94,102531.64,101798.01,101980.78,805.96141
101980.78,102150.0,101675.62,102092.01,630.14712
102092.0,102777.78,101995.37,102406.98,812.35271
102406.97,103000.0,102008.0,102854.15,941.94334
102854.14,103999.0,101400.01,103583.99,4875.47463
103584.0,104782.68,102868.0,104193.93,2958.23804
104193.92,104393.93,103715.5,103741.11,1513.96665
103741.11,104010.94,103405.77,103492.06,715.81564
103492.07,104344.64,103460.0,103733.24,654.45356
103733.25,104123.36,103278.54,104026.04,797.51926
104026.05,104555.0,103925.0,104264.15,773.76345
104264.15,104668.35,103994.46,104663.19,823.76503
104663.19,105300.0,104493.16,105196.0,1481.85543
105196.0,105595.81,104842.37,105478.0,858.83312
105478.0,105520.0,104996.97,105375.7,805.9002
105375.7,105580.16,105163.44,105184.37,552.50647
105184.38,105348.0,104799.66,105132.07,577.84515
105132.07,105368.84,104925.26,105060.01,472.13816
105060.01,105534.0,105021.36,105412.05,501.17589
105412.05,105412.06,105117.63,105345.4,363.29061
105345.41,105392.0,105078.01,105300.63,353.61117
105300.63,105312.93,104836.85,105020.0,440.08456
105020.01,105367.57,104836.58,104879.99,806.07062
104879.99,106222.08,104660.0,105920.57,2212.13745
105920.57,106457.44,105353.85,105564.0,2128.51885
105563.99,106013.01,105455.3,105696.96,992.31396
105696.96,105698.27,104900.14,105300.01,858.48699
105300.01,105583.39,104762.59,105578.95,669.46961
105578.96,105776.87,105231.58,105711.27,622.48257
105711.28,105821.62,104815.82,104907.15,1118.42753
104907.1,105217.17,104805.15,105048.89,488.85335
105048.89,105351.29,104962.11,105094.56,279.52567
105094.57,105254.0,104693.82,104722.94,395.49962
104722.94,105029.72,104400.0,104898.49,652.01906
104898.48,104908.15,104420.97,104729.58,393.75062
